Department,Year,Semester,Subject Name
Forestry,1,1,Information and Communication Technology
Forestry,1,1,Plant Biochemistry
Forestry,1,1,Communication Skills and Personality Development
Forestry,1,1,Basic Mathematics
Forestry,1,1,Introduction to Forestry
Forestry,1,1,Dendrology
Forestry,1,1,Introduction to Agronomy and Horticulture
Forestry,1,1,Wood Anatomy
Forestry,1,1,NCC – I / NSS – I
Forestry,1,1,Physical Education – I
Forestry,1,2,Statistical Methods and Experimental Designs
Forestry,1,2,Plant Physiology
Forestry,1,2,Theory and Practice of Silviculture
Forestry,1,2,Geology and Soils
Forestry,1,2,Wildlife Biology
Forestry,1,2,Forest Protection
Forestry,1,2,Plant Cytology and Genetics
Forestry,1,2,NCC – II / NSS – II
Forestry,1,2,Physical Education – II
Forestry,2,3,Forest Survey and Engineering
Forestry,2,3,Environmental Studies and Disaster Management
Forestry,2,3,Ornithology and Herpatology
Forestry,2,3,Ethnobotany, Medicinal and Aromatic plants
Forestry,2,3,Tree Improvement
Forestry,2,3,Principles of Agroforestry
Forestry,2,3,Forest Mensuration
Forestry,2,3,NCC – III / NSS – III
Forestry,2,3,Physical Education – III
Forestry,2,4,Forest Management
Forestry,2,4,Silviculture of Indian Trees
Forestry,2,4,Wood Products and Utilization
Forestry,2,4,Forest Ecology and Biodiversity
Forestry,2,4,Soil Biology and Fertility
Forestry,2,4,Seed Technology and Nursery Management
Forestry,2,4,Forest Tribology and Anthropology
Forestry,2,4,Rangeland and Livestock Management
Forestry,2,4,Study Tour of State Forest
Forestry,3,5,Forest Hydrology and Watershed Management
Forestry,3,5,Entrepreneurship Development and Business Management
Forestry,3,5,Climate Science
Forestry,3,5,Plantation Forestry
Forestry,3,5,Forest Extension and Community Forestry
Forestry,3,5,Logging and Ergonomics
Forestry,3,5,Geomatics
Forestry,3,5,Experiential Learning
Forestry,3,6,Forest Economics and Marketing
Forestry,3,6,Marketing of Non-Timber Forest Products
Forestry,3,6,Wood Science and Technology
Forestry,3,6,Forest Laws, Legislation and Policies
Forestry,3,6,Certification of Forest Products
Forestry,3,6,Recreation and Urban Forestry
Forestry,3,6,Wildlife Management
Forestry,3,6,Experiential Learning
Forestry,3,6,All India Study Tour
Forestry,4,7,Forestry Work Experience
Forestry,4,8,Agricultural Informatics
Forestry,4,8,Forest Biotechnology
Forestry,4,8,Agroforestry Systems and Management
Forestry,4,8,Forest Inventory and Yield Prediction
Forestry,4,8,Restoration Ecology
Forestry,4,8,Project Work and Dissertation
Forestry,4,8,Extra-Curricular Activities and Discipline
Agricultural Engineering,1,1,Engineering Physics
Agricultural Engineering,1,1,Mathematics – I
Agricultural Engineering,1,1,Basic Electrical Engineering
Agricultural Engineering,1,1,Engineering Graphics and Design
Agricultural Engineering,1,1,Soil Science and Crop Production
Agricultural Engineering,1,2,Engineering Chemistry – B
Agricultural Engineering,1,2,Mathematics – II
Agricultural Engineering,1,2,Programming for Problem Solving
Agricultural Engineering,1,2,Workshop Practice
Agricultural Engineering,1,2,Communication Skills
Agricultural Engineering,1,2,Engineering Thermodynamics
Agricultural Engineering,1,2,Environmental Science (Audit)
Agricultural Engineering,2,3,Mathematics – III
Agricultural Engineering,2,3,Engineering Mechanics
Agricultural Engineering,2,3,Basic Electronics Engineering
Agricultural Engineering,2,3,Agricultural Surveying
Agricultural Engineering,2,3,Soil Mechanics
Agricultural Engineering,2,3,Agricultural Process Engineering
Agricultural Engineering,2,4,Entrepreneurship and Startups
Agricultural Engineering,2,4,Indian Constitution (Audit)
